Name;Birth and death years;Nationality;Pronouns;Notable as;Ref.
Marja-Sisko Aalto;1954;Finnish;she/her;Evangelic-Lutheran priest;[1]
Alexander James Adams;1962;American;he/him;musician, singer and songwriter;[2]
Calpernia Addams;1971;American;she/her;actress, author, and entrepreneur;[3]
Aderet;1976;Israeli;she/her;pop singer;[4]
Tamara Adrián;1954;Venezuelan;she/her;politician;[5][6]
Leelah Alcorn;1997–2014;American;she/her;Teenage suicide victim due to rejection by parents;[7]
Ian Alexander;2001;American;they/them, he/him;actor;[8]
Harry Allen;1882–1922;American;he/him;american pioneer period Pacific Northwest transgender man known for flouting social norms;[9]
Rebecca Allison;1946;American;she/her;cardiologist, president-elect of Gay and Lesbian Medical Association;[10]
Kye Allums;1989;American;he/him;basketball player;[11]
Nadia Almada;1977;Portuguese;she/her;winner of Big Brother UK series 5;[12]
Jessica Alves;1983;Brazilian-British;she/her;television personality noted for having undergone dozens of plastic surgeries;[13]
Taylor Alxndr;1993;American;they/them;music artist, drag queen, activist;[14]
Barbra Amesbury;1948;Canadian;she/her;singer-songwriter;[15]
Charlie Jane Anders;1969;American;she/her;author;[16]
Adèle Anderson;1952;British;she/her;actor and member of the group Fascinating Aïda;[17]
Lucy Hicks Anderson;1886–1954;American;she/her;one of the earliest trans women documented;[18]
Luke Anderson;1981;South African-born;he/him;winner of Big Brother UK series 13;[19]
Jacob Anderson-Minshall;1967;American;he/him;author;[20]
Erica Andrews (Erica Salazar);1969–2013;Mexican-born American;she/her;international and national beauty pageant title winner, drag performer, actor and entrepreneur;[21]
Buck Angel;1962;American;he/him;adult performer and producer, activist, educator, and motivational speaker;[22]
Anohni;1971;British-born;she/her;lead singer of Antony and the Johnsons;[23]
Carla Antonelli;1960;Spanish;she/her;actress, activist, and legislator;[24]
Ryka Aoki;;American;she/her;author, poet;[25][26]
Nikki Araguz;1975–2019;American;she/her;marriage equality activist and public speaker;[27]
Victoria Arellano;1984–2007;Mexican;she/her;Mexican immigrant to the US who died in an immigration detention facility;[28]
Alexis Arquette;1969–2016;American;she/her;actress and musician;[29]
Nina Arsenault;1974;Canadian;she/her;writer;[30]
April Ashley;1935–2021;English;she/her;model;[31][32]
Laith Ashley;1989;American;he/him;model, actor, and singer.;missing
Estelle Asmodelle;1964;Australian;she/her;actress, author, and dancer;[33]
Robina Asti;1921–2021;;she/her;US Navy pilot in World War II, record holder for world's oldest flight instructor;[34]
Abigail Austen;1965;British;she/her;soldier;[35]
Backxwash;1991;Zambian-Canadian;she/her;rapper;[36]
Mianne Bagger;1966;Danish;she/her;golfer;[37]
Jenny Bailey;1962;English;she/her;politician, former Mayor of Cambridge;[38]
Grace Banu;1988;Indian;she/her;Dalit and trans activist, first transgender engineer in Tamil Nadu;[39]
Victor Barker;1895–1960;British;he/him;writer and entertainer;[40]
Ben Barres;1954–2017;American;he/him;neurobiologist;[41]
James Barry;1789/99–1865;Irish;;military surgeon and Inspector General in charge of military hospitals;[42]
Esben Esther Pirelli Benestad;1949;Norwegian;they/them;physician, family therapist, sexologist;[43][44]
Kristin Beck;1966;American;she/her;US Navy SEAL;[45]
Saga Becker;1988;Swedish;she/her;actress;[46]
Munroe Bergdorf;1987;British;she/her;model and activist;[47]
S. Bear Bergman;1974;American;he/him;writer and performance artist;[48]
Danielle Bunten Berry;1949–1998;American;she/her;software developer;[49]
Michelle Suárez Bértora;1983–2022;Uruguayan;she/her;first openly transgender female lawyer and Substitute Senator (2014–2017) in Uruguay;[50]
Hannah Elyse Simpson;1984;American;she/her;transgender advocate and writer;[51][52][53]
Sam Bettens;1972;Belgian;he/him;musician and the lead singer of the Belgian band K's Choice;[54]
Georgina Beyer;1957;New Zealand;she/her;politician;[55]
Alexandra Billings;1962;American;she/her;actress, singer, and educator;[56]
Jackson Bird;1990;American;he/him;author, vlogger, and activist;[57]
Fran Blanche;;American;she/her;electronic engineer, musician;[58]
Maddie Blaustein;1960–2008;American;she/her;voice actress;[59]
Leyna Bloom;1990;American;she/her;fashion model, dancer, and activist;[60]
